ダム番号,ダム名,水系名,河川名,都道府県コード,都道府県名
1,大正池,石狩川,南利別川,1,北海道
4,千歳第三ダム,石狩川,千歳川,1,北海道
5,千歳第四ダム,石狩川,千歳川,1,北海道
7,日進甲号ダム,石狩川,炭山川,1,北海道
8,中和ダム,天塩川,剣淵川,1,北海道
9,藤沢ダム,石狩川,藤の沢川,1,北海道
10,福井谷川ダム,石狩川,福井谷川,1,北海道
11,和歌ダム,石狩川,真木の沢川,1,北海道
13,千代谷ダム,石狩川,千代谷川,1,北海道
14,笹流ダム,亀田川,笹流川,1,北海道
15,三の沢第一ダム,石狩川,志文三の沢川,1,北海道
16,茂平沢第二ダム,石狩川,第二茂平沢川,1,北海道
18,宝池,石狩川,野々沢川,1,北海道
20,クオーベツダム,石狩川,クオーベツ川,1,北海道
21,杵臼ダム（元）,石狩川,杵臼川,1,北海道
22,一の沢ダム,石狩川,豊平川,1,北海道
24,武徳ダム,天塩川,タヨロマ川,1,北海道
25,新成生ダム（元）,石狩川,雨煙内川,1,北海道
26,稲田ダム,石狩川,稲田川,1,北海道
27,江幌ダム,石狩川,吉富川,1,北海道
28,古川ダム,石狩川,古川,1,北海道
29,下幌加内ダム,石狩川,幌加内川,1,北海道
31,相沼内ダム,相沼内川,相沼内川,1,北海道
32,常路川ダム,常路川,常路川,1,北海道
33,中の沢ダム,天塩川,イパノマップ川,1,北海道
35,聖台ダム,石狩川,宇莫別川,1,北海道
36,清水沢ダム,石狩川,夕張川,1,北海道
37,旭町第一ダム,石狩川,ポンポロカベツ川,1,北海道
38,岩松ダム,十勝川,十勝川,1,北海道
39,雨竜第二ダム（元）,石狩川,宇津内川,1,北海道
40,雨竜第一ダム（元）,石狩川,太釜別川,1,北海道
41,雨竜土堰堤,石狩川,太釜別川,1,北海道
42,芦別ダム,石狩川,空知川,1,北海道
43,鷹泊ダム,石狩川,雨竜川,1,北海道
44,幌満川第３ダム,幌満川,幌満川,1,北海道
46,活込ダム,十勝川,美里別川,1,北海道
47,糠平ダム,十勝川,音更川,1,北海道
48,上湯内ダム,石狩川,多度志川,1,北海道
49,桂沢ダム（元）,石狩川,幾春別川,1,北海道
50,芦別ダム,石狩川,芦別川,1,北海道
51,岩知志ダム,沙流川,沙流川,1,北海道
52,三渓ダム,古丹別川,マルシメ沢川,1,北海道
53,岩清水ダム,新冠川,新冠川,1,北海道
54,大夕張ダム（元）,石狩川,夕張川,1,北海道
55,糠南ダム,十勝川,ヌカナン川,1,北海道
56,元小屋ダム,十勝川,音更川,1,北海道
57,当麻ダム,石狩川,当麻川,1,北海道
58,新十津川ダム,石狩川,ルークシュベツ川,1,北海道
59,双珠別ダム,鵡川,双珠別川,1,北海道
60,川端ダム,石狩川,夕張川,1,北海道
62,奥新冠ダム,新冠川,新冠川,1,北海道
63,春別ダム,静内川,春別川,1,北海道
64,青山ダム,石狩川,当別川,1,北海道
65,尾白利加ダム,石狩川,尾白利加川,1,北海道
67,幌加ダム,十勝川,幌加川,1,北海道
70,恵岱別ダム,石狩川,恵岱別川,1,北海道
71,静内ダム,静内川,静内川,1,北海道
72,羽幌ダム,築別川,三毛別川,1,北海道
73,金山ダム,石狩川,空知川,1,北海道
74,幌別ダム,胆振幌別川,胆振幌別川,1,北海道
75,北線ダム,天塩川,オロウエベツ川,1,北海道
77,下新冠ダム,新冠川,新冠川,1,北海道
78,新区画ダム,石狩川,ニタチパウマナイ川,1,北海道
79,厚真ダム,厚真川,厚真川,1,北海道
80,旭町第二ダム,石狩川,ポンポロカベツ川,1,北海道
81,岩尾内ダム,天塩川,天塩川,1,北海道
82,野花南ダム,石狩川,空知川,1,北海道
83,有明ダム,茂築別川,茂築別川,1,北海道
84,日新ダム,石狩川,ピリカ富良野川,1,北海道
85,門別ダム,日高門別川,ダム沢川,1,北海道
86,砥山ダム,石狩川,豊平川,1,北海道
87,豊平峡ダム,石狩川,豊平川,1,北海道
88,新冠ダム,新冠川,新冠川,1,北海道
89,大雪ダム,石狩川,石狩川,1,北海道
90,野花南ダム,石狩川,野花南川,1,北海道
91,様似ダム,様似川,様似川,1,北海道
92,幌新ダム,石狩川,支線の沢川,1,北海道
93,月形ダム,石狩川,須部都川,1,北海道
94,矢別ダム,汐泊川,汐泊川,1,北海道
95,雨煙内ダム（再）,石狩川,雨煙内川,1,北海道
96,羽幌二股ダム,羽幌川,デト二股川,1,北海道
97,風連ダム,天塩川,風連別川,1,北海道
98,富村ダム,十勝川,トムラウシ川,1,北海道
99,双川ダム,静内川,静内川,1,北海道
100,漁川ダム,石狩川,漁川,1,北海道
101,武利ダム,湧別川,武利川,1,北海道
102,双葉ダム,尻別川,ペーペナイ川,1,北海道
103,駒ヶ岳ダム,鳥崎川,鳥崎川,1,北海道
104,三石ダム,三石川,三石川,1,北海道
105,真駒内ダム,後志利別川,真駒内川,1,北海道
106,中幌ダム,留萌川,中幌糠川,1,北海道
107,上磯ダム,戸切地川,戸切地川,1,北海道
108,美唄ダム,石狩川,美唄川,1,北海道
109,しろがねダム,石狩川,オヤウンナイ川,1,北海道
110,北辰ダム,声問川,タツニウシュナイ川,1,北海道
111,佐幌ダム,十勝川,佐幌川,1,北海道
112,十勝ダム,十勝川,十勝川,1,北海道
113,新中野ダム（再）,亀田川,亀田川,1,北海道
114,穂別ダム,鵡川,穂別川,1,北海道
115,鹿ノ子ダム,常呂川,常呂川,1,北海道
116,日の出ダム,石狩川,九号沢川,1,北海道
117,高見ダム,静内川,静内川,1,北海道
118,小沢ダム,石狩川,小沢川,1,北海道
119,鶉ダム,厚沢部川,鶉川,1,北海道
120,幌向ダム,石狩川,マップ川,1,北海道
121,東郷ダム,石狩川,西達布川支流奥の沢川,1,北海道
122,古梅ダム,網走川,石切川,1,北海道
123,温根別ダム,天塩川,犬牛別川,1,北海道
124,定山渓ダム,石狩川,小樽内川,1,北海道
125,余市ダム,ヌッチ川,ヌッチ川,1,北海道
126,富里ダム,常呂川,仁頃川,1,北海道
127,上小川ダム,古丹別川,チエボツナイ川,1,北海道
128,樽真布ダム,留萌川,樽真布川,1,北海道
129,ペーパンダム,石狩川,ペーパン川,1,北海道
130,沼田ダム,石狩川,幌新太刀別川,1,北海道
131,愛別ダム,石狩川,狩布川,1,北海道
132,小平ダム,小平蕊川,小平蕊川,1,北海道
133,エルムダム,石狩川,赤間の沢川,1,北海道
134,忠別ダム,石狩川,忠別川,1,北海道
135,濁川ダム,濁川,澄川,1,北海道
136,大沢ダム,石狩川,牛朱別川,1,北海道
137,美生ダム,十勝川,美生川,1,北海道
138,庶路ダム,庶路川,庶路川,1,北海道
139,神居ダム,石狩川,オイチャヌンペ川,1,北海道
140,沖内ダム,小平蕊川,沖内川,1,北海道
141,望来ダム,望来川,望来川,1,北海道
146,御料ダム,天塩川,長根川,1,北海道
147,浦河ダム,向別川,向別川,1,北海道
148,平取ダム,沙流川,額平川,1,北海道
149,二風谷ダム,沙流川,沙流川,1,北海道
150,幕別ダム,十勝川,稲士別川,1,北海道
151,美利河ダム,後志利別川,後志利別川,1,北海道
152,栗山ダム,石狩川,雨煙別川,1,北海道
157,朝里ダム,朝里川,朝里川,1,北海道
158,滝里ダム,石狩川,空知川,1,北海道
159,卯原内ダム,卯原内川,卯原内川,1,北海道
160,西札内ダム,十勝川,ヌプカクショナイ川,1,北海道
161,共和ダム,堀株川,リヤムナイ川,1,北海道
164,瑞穂ダム,勇払川,支安平川,1,北海道
165,雄武ダム,雄武川,イソサム川,1,北海道
168,知内ダム,知内川,ミナゴヤ川,1,北海道
169,常盤ダム,余市川,小樽川,1,北海道
170,牧の内ダム,コタンケシ川,コタンケシ川,1,北海道
171,当別ダム,石狩川,当別川,1,北海道
172,ポンテシオダム,天塩川,天塩川,1,北海道
173,札内川ダム,十勝川,札内川,1,北海道
175,徳富ダム,石狩川,徳富川,1,北海道
176,緑ダム,斜里川,アタクチャ川,1,北海道
178,東の沢ダム,静内川,コイカクシユシヒ゛チヤリ川,1,北海道
179,大椴ダム,大椴子川,大椴子川,1,北海道
180,苫前ダム,古丹別川,三毛別川,1,北海道
181,留萌ダム,留萌川,チバベリ川,1,北海道
182,民安ダム,サラキタナイ川,サラキシ１４号川,1,北海道
2912,屈足ダム,十勝川,十勝川,1,北海道
2928,新桂沢ダム（再）,石狩川,幾春別川,1,北海道
2929,三笠ぽんべつダム,石狩川,奔別川,1,北海道
2930,上ノ国ダム,天野川,目名川,1,北海道
2948,南部坂ダム,宗山川,宗山川,1,北海道
2969,落合ダム,余市川,小樽川,1,北海道
2974,厚幌ダム,厚真川,厚真川,1,北海道
2995,サンルダム,天塩川,サンル川,1,北海道
3064,大野ダム,大野川,中二股沢川,1,北海道
3101,夕張シューパロダム（再）,石狩川,夕張川,1,北海道
3105,奥沙流ダム,沙流川,ウエンザル川,1,北海道
3196,西岡ダム,天塩川,小沢川,1,北海道
3298,清水の沢ダム,石狩川,清水沢川,1,北海道
3303,高富ダム（再）,石狩川,地蔵沢川,1,北海道
3304,杵臼ダム（再）,石狩川,杵臼川,1,北海道
3307,京極ダム,尻別川,ペーペナイ川,1,北海道
3351,忠烈布ダム,天塩川,忠烈布川,1,北海道
3352,西和ダム,天塩川,西和川,1,北海道
3353,甲子ダム,天塩川,右の沢川,1,北海道
3354,協栄ダム,常呂川,チャシポコマナイ川,1,北海道
3355,二の沢ダム,石狩川,二の沢川,1,北海道
3356,一の沢ダム,石狩川,一の沢川,1,北海道
3357,三の沢第二ダム,石狩川,志文三の沢川,1,北海道
3358,ヌッパの沢ダム,石狩川,抜羽の沢川,1,北海道
3359,豊ヶ丘ダム,石狩川,モロワ川,1,北海道
3360,岩村ダム,石狩川,三の沢川,1,北海道
3361,白木沢ダム,石狩川,白木沢川,1,北海道
3362,江部乙第１号ダム,石狩川,江部乙川,1,北海道
3363,江丹別ダム,石狩川,江丹別川,1,北海道
3364,東桜岡第一ダム,石狩川,桜川,1,北海道
3385,小野の沢ダム,石狩川,小野の沢川,1,北海道
3386,前田の沢ダム,石狩川,前田の沢川,1,北海道
3387,鰔川ダム,厚沢部川,鰔川,1,北海道
3619,中野ダム（元）,亀田川,亀田川,1,北海道
3700,雨竜第一ダム（再）,石狩川,プトカマベツ川,1,北海道
3701,雨竜第二ダム（再）,石狩川,ウツナイ川,1,北海道
183,一の渡ダム,岩木川,浅瀬石川,2,青森県
187,田の沢溜池,小湊川,小湊川,2,青森県
190,赤石ダム,赤石川,赤石川,2,青森県
192,目屋ダム（元）,岩木川,岩木川,2,青森県
193,四和ダム,奥入瀬川,後藤川,2,青森県
194,本郷川ダム（元）,岩木川,本郷川,2,青森県
195,津刈ダム,岩木川,津刈川,2,青森県
196,夏坂ダム,馬淵川,熊原川,2,青森県
197,新小戸六ダム,岩木川,山田川,2,青森県
198,天間ダム,高瀬川,坪川,2,青森県
199,二の倉ダム,五戸川,五戸川,2,青森県
200,花木ダム,馬淵川,杉倉川,2,青森県
201,飯詰ダム,岩木川,飯詰川,2,青森県
202,遠部ダム,岩木川,平川,2,青森県
203,小田川ダム,岩木川,小田川,2,青森県
204,又木戸ダム,五戸川,三川目川,2,青森県
205,作田ダム,高瀬川,作田川,2,青森県
206,早瀬野ダム,岩木川,虹貝川,2,青森県
207,浅瀬石川ダム,岩木川,浅瀬石川,2,青森県
208,清水目ダム,野辺地川,野辺地川,2,青森県
209,浪岡ダム,岩木川,王余魚沢川,2,青森県
210,川内ダム,川内川,川内川,2,青森県
211,和田ダム,高瀬川,和田川,2,青森県
212,久吉ダム,岩木川,平川,2,青森県
213,下湯ダム,堤川,堤川,2,青森県
214,相馬ダム,岩木川,作沢川,2,青森県
215,指久保ダム,奥入瀬川,後藤川,2,青森県
218,世増ダム,新井田川,新井田川,2,青森県
219,二庄内ダム,岩木川,二庄内川,2,青森県
222,浅虫ダム,浅虫川,浅虫川,2,青森県
224,駒込ダム,堤川,駒込川,2,青森県
2996,津軽ダム（再）,岩木川,岩木川,2,青森県
3004,小泊ダム,小泊川,小泊川,2,青森県
3005,本郷ダム（再）,岩木川,本郷川,2,青森県
228,時戸沢溜池,北上川,時戸沢川,3,岩手県
229,岩崎農場溜池,北上川,熊沢,3,岩手県
230,橇引沢溜池,北上川,黒沢川,3,岩手県
232,千貫石ダム（再）,北上川,宿内川,3,岩手県
233,大沢ダム,閉伊川,大沢川,3,岩手県
234,外山ダム,北上川,外山川,3,岩手県
235,石淵ダム（元）,北上川,胆沢川,3,岩手県
236,山王海ダム（元）,北上川,滝名川,3,岩手県
237,石羽根ダム,北上川,和賀川,3,岩手県
238,田瀬ダム,北上川,猿ヶ石川,3,岩手県
239,衣川５号ダム,北上川,滝沢川,3,岩手県
240,鴬宿ダム,北上川,鴬宿川,3,岩手県
241,遠野ダム,北上川,猿ヶ石川,3,岩手県
242,岩洞ダム,北上川,丹藤川,3,岩手県
243,荒沢３号ダム,馬淵川,白沢川,3,岩手県
244,外桝沢ダム,北上川,外桝沢川,3,岩手県
245,豊沢ダム,北上川,豊沢川,3,岩手県
246,衣川１号ダム,北上川,北股川,3,岩手県
247,湯田ダム,北上川,和賀川,3,岩手県
248,煙山ダム,北上川,岩崎川,3,岩手県
249,四十四田ダム,北上川,北上川,3,岩手県
250,レン滝ダム,北上川,南畑川,3,岩手県
251,衣川２号ダム,北上川,南股川,3,岩手県
252,荒沢１号ダム,馬淵川,安比川,3,岩手県
253,雪谷川ダム,新井田川,雪谷川,3,岩手県
254,矢櫃ダム,北上川,矢櫃川,3,岩手県
255,衣川３号ダム,北上川,北沢川,3,岩手県
256,御所ダム,北上川,雫石川,3,岩手県
257,滝ダム,久慈川,長内川,3,岩手県
258,綱取ダム,北上川,中津川,3,岩手県
259,入畑ダム,北上川,夏油川,3,岩手県
260,一方井ダム,北上川,一方井川,3,岩手県
261,瀬月内ダム,新田川,瀬月内川,3,岩手県
262,荒沢２号ダム,馬淵川,鍋越川,3,岩手県
263,山王海ダム（再）,北上川,滝名川,3,岩手県
264,葛丸ダム,北上川,葛丸川,3,岩手県
266,大志田ダム,馬淵川,平糠川,3,岩手県
269,日向ダム,甲子川,小川川,3,岩手県
271,千松ダム,北上川,二股川,3,岩手県
274,早池峰ダム,北上川,稗貫川,3,岩手県
275,大野ダム,高家川,オリバ川,3,岩手県
276,普代ダム,大沢川,大沢川,3,岩手県
277,胆沢ダム（再）,北上川,胆沢川,3,岩手県
280,金越沢ダム,北上川,黄海川,3,岩手県
281,衣川４号ダム,北上川,三沢川,3,岩手県
2923,鷹生ダム,盛川,鷹生川,3,岩手県
2924,根石ダム,米代川,根石川,3,岩手県
2949,綾里川ダム,綾里川,綾里川,3,岩手県
2975,簗川ダム,北上川,簗川,3,岩手県
3071,遠野第二ダム,北上川,来内川,3,岩手県
3626,佐比内溜池,北上川,猫川,3,岩手県
272,相川ダム,北上川,相川,4,宮城県
284,青下第２ダム,名取川,青下川,4,宮城県
285,青下第３ダム,名取川,青下川,4,宮城県
287,愛子溜池,名取川,斉勝川,4,宮城県
288,嘉太神ダム,鳴瀬川,吉田川,4,宮城県
289,花山ダム（元）,北上川,迫川,4,宮城県
290,鳴子ダム,北上川,江合川,4,宮城県
291,孫沢溜池,鳴瀬川,孫沢川,4,宮城県
292,大倉ダム,名取川,大倉川,4,宮城県
293,栗駒ダム,北上川,三迫川,4,宮城県
294,花川ダム,鳴瀬川,花川,4,宮城県
295,牛野ダム,鳴瀬川,善川,4,宮城県
296,川原子ダム,阿武隈川,白石川,4,宮城県
297,釜房ダム,名取川,碁石川,4,宮城県
298,樽水ダム,名取川,増田川,4,宮城県
299,青下第１ダム,名取川,青下川,4,宮城県
300,村田ダム,阿武隈川,荒川,4,宮城県
301,漆沢ダム,鳴瀬川,鳴瀬川,4,宮城県
302,七北田ダム,七北田川,七北田川,4,宮城県
303,菅生ダム,北上川,小山田川,4,宮城県
304,七ヶ宿ダム,阿武隈川,白石川,4,宮城県
305,化女沼ダム,北上川,長者川,4,宮城県
306,長沼ダム,北上川,迫川,4,宮城県
307,南川ダム,鳴瀬川,南川,4,宮城県
309,荒砥沢ダム,北上川,二迫川,4,宮城県
310,小田ダム,北上川,長崎川,4,宮城県
